year,scenario,utility_infrastructure_variant,fiscal_capture_variant,housing_stock,theoretical_housing_capacity,annual_entitlements,annual_permits,annual_completions,annual_occupied_new_units,cumulative_net_new_units,delayed_completed_units_due_to_utilities,population,households,persons_per_household,median_gross_rent_nominal,median_gross_rent_real_2024,median_home_value_nominal,median_home_value_real_2024,median_household_income_nominal,median_household_income_real_2024,per_capita_income_real_2024,rent_to_income_ratio,residual_income_after_rent,poverty_rate,homelessness_pressure_index,estimated_homelessness_cost_avoidance,employer_establishments,employment,annual_payroll,accommodation_food_sales,commercial_vitality_index,gross_new_public_revenue,net_new_public_revenue_after_service_costs,estimated_benefit_cost_avoidance,infrastructure_reinvestment_capacity,infrastructure_funding_gap,years_until_growth_fiscal_dividend_turns_positive,share_of_infrastructure_need_self_funded_by_growth,fiscal_score,fiscal_leakage_score,fiscal_alignment_score,infrastructure_execution_score,infrastructure_stress_score,legal_implementation_risk_score,delivery_risk_score
2030,A_baseline,util_improved,fcap_none,3708037.9268351668,624427.875,45418.06329493124,28613.379875806688,23606.038397540517,13183.614777777932,-1469.073164833244,30759.38336649219,10180681.595126608,3596796.789030112,2.8304856215888314,2319.717357808815,2050.2921327415415,1027199.90910214,907895.0438920327,99408.64158849767,90059.32294576721,48058.08531470816,0.2731922114017499,65455.81735286872,0.1332793817123097,51.11654646039261,0.0,315169.3820758109,4120858.1681950307,360686342460.9816,51867890905.94495,104.19013128745938,129209670.40895262,-442011617.5516737,0.0,0.0,593262665.0000069,-1.0,0.0,47.78994191224163,80.0,30.0,59.16666666666666,64.09224867868537,19.906666666666666,31.875000000000004
2035,A_baseline,util_improved,fcap_none,3817408.8519590036,1318236.625,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,107901.8519590036,40535.621490726146,10485055.01892486,3702886.586400233,2.8315895651338114,2730.0747500107336,2132.7300313001497,1248484.5977597246,975314.1723490845,112405.77770784244,90006.49423735648,48034.15873518322,0.28434348646122165,64413.73386175469,0.1335397406141566,46.09551400750964,149346589.2127562,324592.05019507656,4244060.106878676,420156064756.88873,60884990016.28989,108.09831111321026,1096505679.667868,-65217034.270273924,0.0,0.0,1248974031.5789618,-1.0,0.0,49.67391482864863,80.0,30.0,59.16666666666666,39.05734180325498,20.10666666666667,31.875000000000004
2040,A_baseline,util_improved,fcap_none,3937283.2542154957,2012045.375,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,227776.25421549566,40535.621490726146,10814988.27000872,3819164.756589031,2.831767928144528,3211.763764053659,2217.612255782588,1516546.705814014,1047123.2657022033,127090.01790937368,89945.06198408423,48006.01104710814,0.2958622350396505,63333.71491469317,0.1338237906586028,50.63065660596281,0.0,334805.98900641705,4377607.956301538,490150752160.24146,71605888826.69484,112.3668179583509,2507115875.8340564,225662522.4313559,0.0,0.0,1248974031.5789618,13.0,0.0,51.128312612156776,80.0,30.0,59.16666666666666,37.131419961850995,20.30666666666667,31.875000000000004
2045,A_baseline,util_improved,fcap_none,4056440.134179654,2705854.125,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,346933.13417965407,40535.621490726146,11143805.611494446,3934746.9301542644,2.8321530734525653,3780.3559065231516,2307.041363415834,1843564.981386456,1125074.1394122355,143686.31020387853,89879.76950412808,47975.79952477703,0.30801699329812465,62195.273143138074,0.13410865525220655,55.169622460909814,0.0,344985.38194426073,4510704.116400903,571201544457.2909,84106083633.89024,116.65340672594974,4415820947.951514,952617302.1825223,0.0,0.0,1248974031.5789618,13.0,0.0,54.763086510912615,80.0,30.0,59.16666666666666,37.84166536339741,20.506666666666668,31.875000000000004
2030,A_baseline,util_improved,fcap_partial,3708037.9268351668,624427.875,45418.06329493124,28613.379875806688,23606.038397540517,13183.614777777932,-1469.073164833244,30759.38336649219,10180681.595126608,3596796.789030112,2.8304856215888314,2319.717357808815,2050.2921327415415,1027199.90910214,907895.0438920327,99408.64158849767,90059.32294576721,48058.08531470816,0.2731922114017499,65455.81735286872,0.1332793817123097,51.11654646039261,0.0,315169.3820758109,4120858.1681950307,360686342460.9816,51867890905.94495,104.19013128745938,129209670.40895262,-442011617.5516737,0.0,0.0,593262665.0000069,-1.0,0.0,47.78994191224163,80.0,49.95,59.16666666666666,59.10474867868537,19.906666666666666,31.875000000000004
2035,A_baseline,util_improved,fcap_partial,3817408.8519590036,1318236.625,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,107901.8519590036,40535.621490726146,10485055.01892486,3702886.586400233,2.8315895651338114,2730.0747500107336,2132.7300313001497,1248484.5977597246,975314.1723490845,112405.77770784244,90006.49423735648,48034.15873518322,0.28434348646122165,64413.73386175469,0.1335397406141566,46.09551400750964,149346589.2127562,324592.05019507656,4244060.106878676,420156064756.88873,60884990016.28989,108.09831111321026,1096505679.667868,-65217034.270273924,0.0,0.0,1248974031.5789618,-1.0,0.0,49.67391482864863,80.0,49.95,59.16666666666666,34.06984180325498,20.10666666666667,31.875000000000004
2040,A_baseline,util_improved,fcap_partial,3937283.2542154957,2012045.375,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,227776.25421549566,40535.621490726146,10814988.27000872,3819164.756589031,2.831767928144528,3211.763764053659,2217.612255782588,1516546.705814014,1047123.2657022033,127090.01790937368,89945.06198408423,48006.01104710814,0.2958622350396505,63333.71491469317,0.1338237906586028,50.63065660596281,0.0,334805.98900641705,4377607.956301538,490150752160.24146,71605888826.69484,112.3668179583509,2507115875.8340564,225662522.4313559,0.0,64313818.892936416,1184660212.6860254,13.0,0.05149331953013501,51.128312612156776,80.0,49.95,59.16666666666666,32.143919961851,20.30666666666667,31.875000000000004
2045,A_baseline,util_improved,fcap_partial,4056440.134179654,2705854.125,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,346933.13417965407,40535.621490726146,11143805.611494446,3934746.9301542644,2.8321530734525653,3780.3559065231516,2307.041363415834,1843564.981386456,1125074.1394122355,143686.31020387853,89879.76950412808,47975.79952477703,0.30801699329812465,62195.273143138074,0.13410865525220655,55.169622460909814,0.0,344985.38194426073,4510704.116400903,571201544457.2909,84106083633.89024,116.65340672594974,4415820947.951514,952617302.1825223,0.0,271495931.1220188,977478100.456943,13.0,0.21737516093812753,54.763086510912615,80.0,49.95,59.16666666666666,32.854165363397414,20.506666666666668,31.875000000000004
2030,A_baseline,util_improved,fcap_high,3708037.9268351668,624427.875,45418.06329493124,28613.379875806688,23606.038397540517,13183.614777777932,-1469.073164833244,30759.38336649219,10180681.595126608,3596796.789030112,2.8304856215888314,2319.717357808815,2050.2921327415415,1027199.90910214,907895.0438920327,99408.64158849767,90059.32294576721,48058.08531470816,0.2731922114017499,65455.81735286872,0.1332793817123097,51.11654646039261,0.0,315169.3820758109,4120858.1681950307,360686342460.9816,51867890905.94495,104.19013128745938,129209670.40895262,-442011617.5516737,0.0,0.0,593262665.0000069,-1.0,0.0,47.78994191224163,80.0,69.9,59.16666666666666,54.117248678685364,19.906666666666666,31.875000000000004
2035,A_baseline,util_improved,fcap_high,3817408.8519590036,1318236.625,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,107901.8519590036,40535.621490726146,10485055.01892486,3702886.586400233,2.8315895651338114,2730.0747500107336,2132.7300313001497,1248484.5977597246,975314.1723490845,112405.77770784244,90006.49423735648,48034.15873518322,0.28434348646122165,64413.73386175469,0.1335397406141566,46.09551400750964,149346589.2127562,324592.05019507656,4244060.106878676,420156064756.88873,60884990016.28989,108.09831111321026,1096505679.667868,-65217034.270273924,0.0,0.0,1248974031.5789618,-1.0,0.0,49.67391482864863,80.0,69.9,59.16666666666666,29.082341803254977,20.10666666666667,31.875000000000004
2040,A_baseline,util_improved,fcap_high,3937283.2542154957,2012045.375,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,227776.25421549566,40535.621490726146,10814988.27000872,3819164.756589031,2.831767928144528,3211.763764053659,2217.612255782588,1516546.705814014,1047123.2657022033,127090.01790937368,89945.06198408423,48006.01104710814,0.2958622350396505,63333.71491469317,0.1338237906586028,50.63065660596281,0.0,334805.98900641705,4377607.956301538,490150752160.24146,71605888826.69484,112.3668179583509,2507115875.8340564,225662522.4313559,0.0,128627637.78587283,1120346393.793089,13.0,0.10298663906027002,51.128312612156776,80.0,69.9,59.16666666666666,27.156419961850993,20.30666666666667,31.875000000000004
2045,A_baseline,util_improved,fcap_high,4056440.134179654,2705854.125,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,346933.13417965407,40535.621490726146,11143805.611494446,3934746.9301542644,2.8321530734525653,3780.3559065231516,2307.041363415834,1843564.981386456,1125074.1394122355,143686.31020387853,89879.76950412808,47975.79952477703,0.30801699329812465,62195.273143138074,0.13410865525220655,55.169622460909814,0.0,344985.38194426073,4510704.116400903,571201544457.2909,84106083633.89024,116.65340672594974,4415820947.951514,952617302.1825223,0.0,542991862.2440376,705982169.3349242,13.0,0.43475032187625506,54.763086510912615,80.0,69.9,59.16666666666666,27.866665363397413,20.506666666666668,31.875000000000004
2030,A_baseline,util_current_drag,fcap_none,3698888.5108379484,624427.875,45418.06329493124,28613.379875806688,23606.038397540517,8742.818221052732,-10618.489162051585,39915.66492675033,10158511.37545159,3587921.85551281,2.8313078669322547,2321.439461361847,2051.8142213505967,1028343.9749118913,908906.2313632888,99412.72331560294,90063.02078907013,48059.74840503915,0.27338379770618587,65441.250132862966,0.1332604835181648,55.69610357802627,0.0,314483.0454715108,4111884.2768121385,359908501151.422,51726740073.55753,103.90659317744742,62245346.254176125,-464920305.3519416,0.0,0.0,393426819.9473729,-1.0,0.0,47.67539847324029,80.0,30.0,30.0,82.3647013283825,19.906666666666666,39.166666666666664
