year,scenario,utility_infrastructure_variant,fiscal_capture_variant,housing_stock,theoretical_housing_capacity,annual_entitlements,annual_permits,annual_completions,annual_occupied_new_units,cumulative_net_new_units,delayed_completed_units_due_to_utilities,population,households,persons_per_household,median_gross_rent_nominal,median_gross_rent_real_2024,median_home_value_nominal,median_home_value_real_2024,median_household_income_nominal,median_household_income_real_2024,per_capita_income_real_2024,rent_to_income_ratio,residual_income_after_rent,poverty_rate,homelessness_pressure_index,estimated_homelessness_cost_avoidance,employer_establishments,employment,annual_payroll,accommodation_food_sales,commercial_vitality_index,gross_new_public_revenue,net_new_public_revenue_after_service_costs,estimated_benefit_cost_avoidance,infrastructure_reinvestment_capacity,infrastructure_funding_gap,years_until_growth_fiscal_dividend_turns_positive,share_of_infrastructure_need_self_funded_by_growth,fiscal_score,fiscal_leakage_score,fiscal_alignment_score,infrastructure_execution_score,infrastructure_stress_score,legal_implementation_risk_score,delivery_risk_score
2026,A_baseline,util_improved,fcap_none,3705055.5916,69380.875,22709.03164746562,14306.689937903344,0.0,0.0,-4451.408400000073,0.0,10141419.983388092,3593903.923852,2.8218394810394285,2022.8608386219394,1973.522769387258,870073.9380946757,848852.622531391,90065.85729695886,90065.85729695886,48061.022960284165,0.262943960601669,66383.58406431176,0.13324592085275141,56.48489111436993,0.0,313953.93713773804,4104966.154294251,325516032798.2812,46763339629.979126,103.68811447888945,60881420.7664319,-392870726.76423985,0.0,0.0,0.0,-1.0,0.0,48.0356463661788,80.0,30.0,59.16666666666666,27.0578370284787,19.746666666666666,31.875000000000004
2027,A_baseline,util_improved,fcap_none,3700609.52489008,208142.625,45418.06329493124,28613.379875806688,2146.0034906855017,0.0,-8897.475109919906,2146.0034906855017,10138591.969245598,3589591.2391433776,2.824441919371599,2094.164752895718,1993.2561598055613,907501.2291789218,863772.7344951071,92317.98357652809,90066.32544051521,48061.233218176545,0.265571775029994,66147.25152284847,0.13324351178011645,57.91136618998981,0.0,313866.38863114116,4103821.4524322017,333561784026.1045,47915715790.13036,103.65197293846816,42240591.91855791,-415686297.5242988,0.0,0.0,0.0,-1.0,0.0,47.92156851237851,80.0,30.0,59.16666666666666,100.0,19.78666666666667,31.875000000000004
2028,A_baseline,util_improved,fcap_none,3697420.6288297786,346904.375,45418.06329493124,28613.379875806688,8584.013962742007,1214.2803084795462,-12086.371170221362,9478.182083860966,10138854.325797234,3586498.009964885,2.8269510529845525,2167.779169963062,2012.9984602318016,946405.630203992,878831.7106985606,94625.88755239069,90066.28202488109,48061.21372002918,0.26820227258974066,65910.30050209948,0.1332437352649017,58.71817059016963,0.0,313874.51055809564,4103927.647103814,341909591173.00775,49115197332.34211,103.65532570459114,30813046.061783306,-437216528.9230663,0.0,0.0,54642613.88157958,-1.0,0.0,47.81391735538467,80.0,30.0,59.16666666666666,100.0,19.826666666666668,31.875000000000004
2029,A_baseline,util_improved,fcap_none,3698885.233674568,485666.125,45418.06329493124,28613.379875806688,17168.027925484013,5724.464311403575,-10621.766325431876,20744.70040995985,10150447.810534399,3587918.676664331,2.8290629541166794,2243.15239766023,2032.1853610444018,986431.0421578271,893657.8386933778,96989.4655484403,90064.36057370294,48060.35054923792,0.2707644197682022,65678.13624117011,0.13325361230236768,57.02027386508029,0.0,314233.41692272126,4108620.368885808,350854215119.18054,50415044851.79231,103.80350543429503,51771227.52787055,-448694591.0775036,0.0,0.0,257600894.01316088,-1.0,0.0,47.75652704461248,80.0,30.0,59.16666666666666,98.84669272899151,19.866666666666667,31.875000000000004
2030,A_baseline,util_improved,fcap_none,3708037.9268351668,624427.875,45418.06329493124,28613.379875806688,23606.038397540517,13183.614777777932,-1469.073164833244,30759.38336649219,10180681.595126608,3596796.789030112,2.8304856215888314,2319.717357808815,2050.2921327415415,1027199.90910214,907895.0438920327,99408.64158849767,90059.32294576721,48058.08531470816,0.2731922114017499,65455.81735286872,0.1332793817123097,51.11654646039261,0.0,315169.3820758109,4120858.1681950307,360686342460.9816,51867890905.94495,104.19013128745938,129209670.40895262,-442011617.5516737,0.0,0.0,593262665.0000069,-1.0,0.0,47.78994191224163,80.0,30.0,59.16666666666666,64.09224867868537,19.906666666666666,31.875000000000004
2031,A_baseline,util_improved,fcap_none,3724511.815357148,763189.625,45418.06329493124,28613.379875806688,27182.710882016352,20295.82801315813,15004.815357148182,37018.5602143249,10228588.817680556,3612776.460896434,2.831226600480714,2397.4969459449153,2067.3541026381818,1068718.3378920783,921552.4733588588,101884.7369423036,90051.2615884228,48054.45401541885,0.2754903017910366,65243.01235676462,0.1333202496445148,46.29871096165566,141574305.71667108,316652.4743018289,4140249.686094134,371426050776.914,53477492591.36927,104.80335059309961,263574042.2785719,-275679790.796596,0.0,0.0,913312260.5921159,-1.0,0.0,48.62160104601702,80.0,30.0,59.16666666666666,52.5823407864588,19.94666666666667,31.875000000000004
2032,A_baseline,util_improved,fcap_none,3745734.831858871,901951.375,45418.06329493124,28613.379875806688,28613.379875806688,24921.657759746875,36227.83185887104,39939.50940998017,10287912.220014634,3633362.7869031047,2.8315125197788276,2476.9682881259905,2083.787309204486,1111298.2762779116,934896.6056407358,104420.12468175916,90041.14625628605,48049.886803464455,0.2777113436481615,65035.69854583222,0.13337091484996116,44.8205837145197,198112672.9196215,318488.9839580405,4164262.1576353842,382897484818.6539,55212106038.590454,105.56369401364879,439752938.46414495,-180911676.48952428,0.0,0.0,1121474599.1886094,-1.0,0.0,49.09544161755238,80.0,30.0,59.16666666666666,46.45149328067687,19.986666666666668,31.875000000000004
2033,A_baseline,util_improved,fcap_none,3769257.217855701,1040713.125,45418.06329493124,28613.379875806688,28613.379875806688,27176.749761208896,59750.21785570122,40535.621490726146,10352745.720026027,3656179.50132003,2.831574794478297,2558.6442843272825,2099.998522292135,1155283.6920782558,948195.1285895165,107017.28918513707,90029.9249443246,48044.80702969757,0.2799067341563324,64829.94267681897,0.133426359171499,44.76317559645691,200308533.43552315,320496.0729673053,4190504.964229249,394917700544.2482,57038559666.249825,106.39591420498292,643115522.8765202,-130844913.9427918,0.0,0.0,1222953739.2544003,-1.0,0.0,49.34577543028604,80.0,30.0,59.16666666666666,42.706399646525675,20.026666666666667,31.875000000000004
2034,A_baseline,util_improved,fcap_none,3793347.489070081,1179474.875,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,83840.48907008115,40535.621490726146,10418930.718000744,3679547.0643979786,2.8315796851223087,2642.942231733582,2116.2788034657933,1200961.4966148234,961643.9317318783,109678.54846245755,90018.29254231956,48039.52732195685,0.2821131674948246,64622.946900730036,0.13348303712451356,45.31386022504512,179244846.3920242,322545.00109843997,4217294.819797135,407351091679.9513,58932100297.12562,107.246827560264,862956295.9825181,-97066051.04510799,0.0,0.0,1248974031.5789618,-1.0,0.0,49.51466974477446,80.0,30.0,59.16666666666666,40.436541413857526,20.066666666666666,31.875000000000004
2035,A_baseline,util_improved,fcap_none,3817408.8519590036,1318236.625,45418.06329493124,28613.379875806688,28613.379875806688,27754.978479532485,107901.8519590036,40535.621490726146,10485055.01892486,3702886.586400233,2.8315895651338114,2730.0747500107336,2132.7300313001497,1248484.5977597246,975314.1723490845,112405.77770784244,90006.49423735648,48034.15873518322,0.28434348646122165,64413.73386175469,0.1335397406141566,46.09551400750964,149346589.2127562,324592.05019507656,4244060.106878676,420156064756.88873,60884990016.28989,108.09831111321026,1096505679.667868,-65217034.270273924,0.0,0.0,1248974031.5789618,-1.0,0.0,49.67391482864863,80.0,30.0,59.16666666666666,39.05734180325498,20.10666666666667,31.875000000000004
