parameter,perturbation,multiplier,cumulative_net_new_units,cumulative_net_new_units_pct_vs_central,median_gross_rent_real_2024,median_gross_rent_real_2024_pct_vs_central,homelessness_pressure_index,homelessness_pressure_index_pct_vs_central,net_new_public_revenue_after_service_costs,net_new_public_revenue_after_service_costs_pct_vs_central
construction_labor_capacity_baseline_units,low,0.7,692016.916797176,-0.0017917522991429185,2250.4267346128263,8.636452759184108e-05,50.30407475905894,0.00018280254553837232,2859200148.484965,-0.004259782583824166
construction_labor_capacity_baseline_units,high,1.3,693885.0395049909,0.0009029441011831592,2250.134475585866,-4.351495849750315e-05,50.29024673821877,-9.213638741737425e-05,2877594692.5123596,0.0021462702693889548
financing_cost_index,low,0.85,693885.0395049909,0.0009029441011831592,2250.134475585866,-4.351495849750315e-05,50.29024673821877,-9.213638741737425e-05,2877594692.5123596,0.0021462702693889548
financing_cost_index,high,1.2,692305.7484067725,-0.001375123618690529,2250.3815412485305,6.628066229458259e-05,50.30193707504219,0.00014029953159621153,2862044616.020439,-0.0032691731213466127
utility_lag_months,low,0.6,724574.6049703648,0.04517148237287162,2245.3645247296436,-0.002163274174562515,50.063317744855325,-0.00460410639478171,3178775407.544855,0.10703495769720908
utility_lag_months,high,1.6,659575.7146562906,-0.048586960272149315,2255.5174596029665,0.0023486753017637313,50.54344071609452,0.0049420534588797095,2538598685.1267567,-0.11591190704156919
infrastructure_funding_adequacy,low,0.7,693259.0653213672,0.0,2250.232394355116,0.0,50.29488072683453,0.0,2871431823.7584496,0.0
infrastructure_funding_adequacy,high,1.2,693259.0653213672,0.0,2250.232394355116,0.0,50.29488072683453,0.0,2871431823.7584496,0.0
litigation_delay_years,low,0.5,699465.0540968096,0.008951904253232529,2249.263092267868,-0.00043075643639268877,50.2489668795914,-0.0009128930535196735,2932497002.633559,0.021266456117763843
litigation_delay_years,high,2.0,680277.8521721251,-0.018724909342836406,2252.264487168884,0.0009030590879705114,50.39080853634255,0.0019073076249853332,2743442021.4320955,-0.04457351251294092
local_resistance_haircut,low,0.6,693259.0653213672,0.0,2250.232394355116,0.0,50.29488072683453,0.0,2871431823.7584496,0.0
local_resistance_haircut,high,1.6,693259.0653213672,0.0,2250.232394355116,0.0,50.29488072683453,0.0,2871431823.7584496,0.0
latent_demand_mu,low,0.5,713137.2019758737,0.028673460829959325,2241.6893631124904,-0.0037965106466587473,49.57951754034825,-0.014223379718735493,4154047664.396847,0.4466816276207341
latent_demand_mu,high,1.5,672580.2034357572,-0.029828476712416507,2259.012813942982,0.003902005681676494,50.90812811471649,0.012193037919956096,2299093196.2429223,-0.19932168431789085
rent_alpha,low,0.65,687836.213214145,-0.007822259207974979,2273.6829806381184,0.010421406403103087,52.09597777775685,0.03581074305960842,2864663594.162263,-0.002357092214478429
rent_alpha,high,1.5,701472.0680952873,0.011846946090943439,2215.9094727373217,-0.015253056397150787,47.57352425938945,-0.054108021097127555,2975130805.2014794,0.03611403223472571
construction_cost_inflation,low,0.5,693310.5286526429,7.423391030849805e-05,2250.2243436869885,-3.577705195093867e-06,50.29449976969,-7.574471576896206e-06,2871938523.6516123,0.00017646244948957282
construction_cost_inflation,high,2.0,693156.1338147307,-0.00014847480802697845,2250.248496693398,7.155855689593249e-06,50.29564266740586,1.5149465717361082e-05,2870418359.708023,-0.00035294727948649275
construction_labor_capacity_growth_cap_per_year,low,0.85,693259.0653213672,0.0,2250.232394355116,0.0,50.29488072683453,0.0,2871431823.7584496,0.0
construction_labor_capacity_growth_cap_per_year,high,1.15,693259.0653213672,0.0,2250.232394355116,0.0,50.29488072683453,0.0,2871431823.7584496,0.0
income_composition_lambda,low,0.5,697911.1475520758,0.006710452792351215,2249.5060404081883,-0.0003227906365359497,49.30635145126768,-0.019654669844746717,2948219031.873109,0.02674178348213459
income_composition_lambda,high,1.5,688652.7484947452,-0.00664443792665978,2250.952468882574,0.00032000007166569673,51.26584993659808,0.01930552763485326,2821576057.238132,-0.01736268509243614
commercial_friction_elasticity,low,0.6,691400.7022502627,-0.002680618493236794,2250.5228412581846,0.00012907418087005154,50.308618553853776,0.0002731456327307442,2843115518.8519726,-0.009861388549150174
commercial_friction_elasticity,high,1.6,696307.3008028297,0.004396964473950876,2249.756286347288,-0.00021158170552615596,50.27234182635455,-0.00044813508162777936,2917870570.6108093,0.01617267959076095
cost_per_unsheltered_person_year_central,low,0.7,693259.0653213672,0.0,2250.232394355116,0.0,50.29488072683453,0.0,2871431823.7584496,0.0
cost_per_unsheltered_person_year_central,high,1.3,693259.0653213672,0.0,2250.232394355116,0.0,50.29488072683453,0.0,2871431823.7584496,0.0
fiscal_capture_rate,low,0.0,518025.4444950726,-0.25276787508730714,2278.211360538909,0.012433811838270801,52.7008323587767,0.047836908988999595,1744065406.99927,-0.3926147253197037
fiscal_capture_rate,high,2.0,736468.6254439224,0.06232815737147973,2243.517271264456,-0.0029841909251262923,49.97474493402099,-0.006365176498822702,3295931446.454672,0.14783552204996808
infrastructure_capex_per_unit_one_time,low,0.7,693259.0653213672,0.0,2250.232394355116,0.0,50.29488072683453,0.0,2871431823.7584496,0.0
infrastructure_capex_per_unit_one_time,high,1.5,693259.0653213672,0.0,2250.232394355116,0.0,50.29488072683453,0.0,2871431823.7584496,0.0
la_share_post_eraf,low,0.7,693259.0653213672,0.0,2250.232394355116,0.0,50.29488072683453,0.0,2871431823.7584496,0.0
